,epoch,train_loss,train_acc,valid_loss,valid_acc,name_checkpoint,lr
0,69,0.1386,0.9503,2.5688,0.4883,checkpoint_0069.pth,0.0008852686006567718
0,70,0.1566,0.9483,1.8288,0.5225,checkpoint_0070.pth,0.0008958808240343974
0,71,0.1542,0.9444,2.8385,0.4424,checkpoint_0071.pth,0.0009060380312801941
0,72,0.1396,0.9544,2.2191,0.5136,checkpoint_0072.pth,0.0009157279267598663
0,73,0.1492,0.9463,2.9352,0.4044,checkpoint_0073.pth,0.0009249387805354196
0,74,0.1652,0.9433,2.0988,0.4864,checkpoint_0074.pth,0.0009336594425646394
0,75,0.1412,0.9527,3.3325,0.3046,checkpoint_0075.pth,0.0009418793561985832
0,76,0.1586,0.9403,2.1512,0.4958,checkpoint_0076.pth,0.0009495885709607525
0,77,0.1634,0.9425,1.8693,0.544,checkpoint_0077.pth,0.0009567777545924736
0,78,0.154,0.9458,1.867,0.493,checkpoint_0078.pth,0.0009634382043499033
0,79,0.1476,0.9453,2.0184,0.4831,checkpoint_0079.pth,0.0009695618575389877
0,80,0.1588,0.9439,2.1098,0.5127,checkpoint_0080.pth,0.0009751413012756195
0,81,0.1514,0.9472,1.6833,0.5858,checkpoint_0081.pth,0.000980169781459178
0,82,0.13,0.9544,2.0551,0.5497,checkpoint_0082.pth,0.000984641210948592
0,83,0.1522,0.9453,1.8364,0.6054,checkpoint_0083.pth,0.0009885501769310227
0,84,0.1442,0.9494,3.0365,0.3918,checkpoint_0084.pth,0.0009918919474742537
0,85,0.1539,0.9473,1.7106,0.5281,checkpoint_0085.pth,0.0009946624772548505
0,86,0.1348,0.9523,2.4744,0.4236,checkpoint_0086.pth,0.0009968584124551583
0,87,0.1415,0.9492,1.9768,0.5501,checkpoint_0087.pth,0.0009984770948232077
0,88,0.1375,0.9505,2.8197,0.4114,checkpoint_0088.pth,0.0009995165648906178
0,89,0.174,0.9398,1.8175,0.5623,checkpoint_0089.pth,0.0009999755643445962
0,90,0.1459,0.9511,2.7214,0.4616,checkpoint_0090.pth,0.000999971983002771
0,91,0.1249,0.9531,2.8882,0.4419,checkpoint_0091.pth,0.0009998374909171279
0,92,0.1361,0.9514,3.1368,0.4363,checkpoint_0092.pth,0.000999591879474827
0,93,0.1428,0.9522,2.3614,0.4236,checkpoint_0093.pth,0.0009992352032782042
0,94,0.1156,0.958,3.1992,0.4171,checkpoint_0094.pth,0.0009987675416206078
0,95,0.126,0.9547,3.1003,0.4499,checkpoint_0095.pth,0.0009981889984687696
0,96,0.1332,0.9561,2.2241,0.553,checkpoint_0096.pth,0.0009974997024396923
0,97,0.1261,0.9541,2.8064,0.463,checkpoint_0097.pth,0.0009966998067720573
0,98,0.1441,0.9497,2.6124,0.4456,checkpoint_0098.pth,0.0009957894892921562
0,99,0.1605,0.9425,2.8005,0.4227,checkpoint_0099.pth,0.0009947689523743598
0,100,0.1402,0.9495,2.7619,0.4166,checkpoint_0100.pth,0.0009936384228961261
0,101,0.1099,0.9611,2.796,0.4372,checkpoint_0101.pth,0.0009923981521875638
0,102,0.131,0.9531,2.6721,0.4217,checkpoint_0102.pth,0.0009910484159755585
0,103,0.1165,0.9602,2.601,0.4077,checkpoint_0103.pth,0.0009895895143224754
0,104,0.1189,0.9578,3.1624,0.3903,checkpoint_0104.pth,0.0009880217715594515
0,105,0.1226,0.9567,1.8693,0.5928,checkpoint_0105.pth,0.0009863455362142933
0,106,0.132,0.9541,2.8773,0.4227,checkpoint_0106.pth,0.0009845611809339947
0,107,0.1169,0.9584,2.3764,0.4981,checkpoint_0107.pth,0.0009826691024018934
0,108,0.1372,0.95,2.0197,0.5127,checkpoint_0108.pth,0.000980669721249483
0,109,0.1185,0.9583,2.5858,0.4864,checkpoint_0109.pth,0.0009785634819629025
0,110,0.1048,0.9606,2.3047,0.4892,checkpoint_0110.pth,0.0009763508527841208
0,111,0.1259,0.9545,2.555,0.4339,checkpoint_0111.pth,0.0009740323256068418
0,112,0.1204,0.9573,2.29,0.463,checkpoint_0112.pth,0.0009716084158671502
0,113,0.1043,0.9652,2.5349,0.4175,checkpoint_0113.pth,0.0009690796624289232
0,114,0.1196,0.9572,2.0665,0.5061,checkpoint_0114.pth,0.0009664466274640365
0,115,0.0979,0.9656,2.5067,0.47,checkpoint_0115.pth,0.0009637098963273847
0,116,0.1106,0.9631,2.9475,0.4391,checkpoint_0116.pth,0.000960870077426752
0,117,0.1025,0.9664,2.8473,0.4428,checkpoint_0117.pth,0.0009579278020875541
0,118,0.1093,0.965,3.6766,0.3271,checkpoint_0118.pth,0.0009548837244124884
0,119,0.1172,0.9567,3.4186,0.3313,checkpoint_0119.pth,0.0009517385211361186
0,120,0.1358,0.9514,2.7961,0.4499,checkpoint_0120.pth,0.0009484928914744287
0,121,0.1157,0.9606,3.3262,0.3538,checkpoint_0121.pth,0.0009451475569693791
0,122,0.0978,0.9644,3.1939,0.3632,checkpoint_0122.pth,0.0009417032613284989
0,123,0.1048,0.9619,3.4045,0.3557,checkpoint_0123.pth,0.0009381607702595517
0,124,0.1037,0.9636,3.3023,0.4128,checkpoint_0124.pth,0.0009345208713003087
0,125,0.1006,0.9633,2.6693,0.4714,checkpoint_0125.pth,0.00093078437364347
0,126,0.0983,0.9641,2.7628,0.4536,checkpoint_0126.pth,0.0009269521079567724
0,127,0.1022,0.9645,2.9419,0.4138,checkpoint_0127.pth,0.0009230249261983206
0,128,0.1034,0.9619,3.7921,0.2929,checkpoint_0128.pth,0.0009190037014271878
0,129,0.0951,0.9684,3.6343,0.3191,checkpoint_0129.pth,0.0009148893276093242
