,epoch,train_loss,train_acc,valid_loss,valid_acc,name_checkpoint,lr
0,68,0.1294,0.9482,0.9465,0.7334,checkpoint_0068.pth,0.0008742371037429598
0,69,0.1198,0.9559,1.1724,0.7216,checkpoint_0069.pth,0.0008852909309201195
0,70,0.1286,0.9543,1.0989,0.7263,checkpoint_0070.pth,0.000895902535344308
0,71,0.2099,0.9239,0.9057,0.7224,checkpoint_0071.pth,0.0009060590705621241
0,72,0.2053,0.9193,1.0143,0.7192,checkpoint_0072.pth,0.0009157482410288817
0,73,0.1772,0.9331,0.8721,0.7429,checkpoint_0073.pth,0.0009249583169936473
0,74,0.1535,0.9432,0.9309,0.7437,checkpoint_0074.pth,0.000933678148699328
0,75,0.1439,0.9521,0.876,0.7445,checkpoint_0075.pth,0.0009418971798806125
0,76,0.1228,0.9537,1.0695,0.7287,checkpoint_0076.pth,0.0009496054605434334
0,77,0.1324,0.9517,1.0649,0.7358,checkpoint_0077.pth,0.00095679365901047
0,78,0.1201,0.9557,1.0945,0.7476,checkpoint_0078.pth,0.0009634530732181183
0,79,0.1701,0.9381,1.1216,0.6743,checkpoint_0079.pth,0.0009695756412512445
0,80,0.184,0.9312,1.2893,0.6979,checkpoint_0080.pth,0.0009751539511029749
0,81,0.1452,0.9474,1.0324,0.7279,checkpoint_0081.pth,0.0009801812496477028
0,82,0.1371,0.9519,1.0284,0.7216,checkpoint_0082.pth,0.0009846514508164508
0,83,0.1156,0.9581,1.0915,0.739,checkpoint_0083.pth,0.0009885591429646913
0,84,0.0939,0.9644,1.2685,0.7232,checkpoint_0084.pth,0.0009918995954237072
0,85,0.1235,0.9593,0.9867,0.7405,checkpoint_0085.pth,0.0009946687642275593
0,86,0.0974,0.9664,1.0337,0.7366,checkpoint_0086.pth,0.0009968632970087286
0,87,0.1225,0.9551,1.161,0.7169,checkpoint_0087.pth,0.0009984805370565058
0,88,0.1222,0.9587,1.0117,0.7295,checkpoint_0088.pth,0.0009995185265332183
0,89,0.0867,0.9686,1.4011,0.7224,checkpoint_0089.pth,0.0009999760088443956
0,90,0.0956,0.9674,1.0347,0.7429,checkpoint_0090.pth,0.000999971772821707
